NAME          Proxy
ROWS
 N  COST
 E  R00000
 E  R00001
 E  R00002
 E  R00003
 E  R00004
 E  R00005
 E  R00006
 E  R00007
 E  R00008
 E  R00009
 E  R00010
 E  R00011
 E  R00012
 E  R00013
 E  R00014
 E  R00015
 E  R00016
 E  R00017
 E  R00018
 E  R00019
 E  R00020
 E  R00021
 E  R00022
 E  R00023
 E  R00024
 E  R00025
 E  R00026
 E  R00027
 E  R00028
 E  R00029
 E  R00030
 E  R00031
 E  R00032
 E  R00033
 E  R00034
 E  R00035
 E  R00036
 E  R00037
 E  R00038
 E  R00039
 E  R00040
 E  R00041
 E  R00042
 E  R00043
 E  R00044
 E  R00045
 E  R00046
 E  R00047
 E  R00048
 E  R00049
 E  R00050
 E  R00051
 E  R00052
 E  R00053
 E  R00054
 E  R00055
 E  R00056
 E  R00057
 E  R00058
 E  R00059
 E  R00060
 E  R00061
 E  R00062
COLUMNS
    X00026  R00024    1.
    X00453  R00004    1.
    X00453  R00006    1.
    X00453  R00013    1.
    X00453  R00021    1.
    X00453  R00023    1.
    X00454  COST    -1.00605
    X00454  R00008    1.
    X00454  R00009    1.
    X00454  R00016    1.
    X00454  R00019    1.
    X00454  R00021    1.
    X00454  R00022    1.
    X00455  COST    0.973022
    X00455  R00003    1.
    X00455  R00006    1.
    X00455  R00009    1.
    X00455  R00013    1.
    X00456  COST    0.99044
    X00456  R00008    1.
    X00456  R00014    1.
    X00456  R00018    1.
    X00456  R00019    1.
    X00456  R00021    1.
    X00457  COST    0.996084
    X00457  R00001    1.
    X00457  R00007    1.
    X00457  R00009    1.
    X00457  R00010    1.
    X00457  R00011    1.
    X00457  R00016    1.
    X00457  R00017    1.
    X00458  COST    1.00351
    X00458  R00000    1.
    X00458  R00004    1.
    X00458  R00005    1.
    X00458  R00013    1.
    X00458  R00018    1.
    X00458  R00020    1.
    X00458  R00021    1.
    X00459  COST    -0.992197
    X00459  R00003    1.
    X00459  R00007    1.
    X00459  R00010    1.
    X00459  R00014    1.
    X00459  R00015    1.
    X00459  R00016    1.
    X00460  COST    -1.00033
    X00460  R00001    1.
    X00460  R00002    1.
    X00460  R00003    1.
    X00460  R00006    1.
    X00460  R00012    1.
    X00460  R00014    1.
    X00460  R00016    1.
    X00460  R00020    1.
    X00461  COST    1.0176
    X00461  R00005    1.
    X00461  R00008    1.
    X00461  R00009    1.
    X00461  R00017    1.
    X00461  R00019    1.
    X00461  R00021    1.
    X00461  R00023    1.
    X00462  COST    -0.997461
    X00462  R00000    1.
    X00462  R00004    1.
    X00462  R00006    1.
    X00462  R00015    1.
    X00462  R00016    1.
    X00462  R00017    1.
    X00462  R00022    1.
    X00463  COST    -1.00509
    X00463  R00000    1.
    X00463  R00001    1.
    X00463  R00007    1.
    X00463  R00011    1.
    X00463  R00014    1.
    X00463  R00015    1.
    X00463  R00017    1.
    X00463  R00018    1.
    X00463  R00019    1.
    X00464  COST    0.992966
    X00464  R00000    1.
    X00464  R00002    1.
    X00464  R00004    1.
    X00464  R00005    1.
    X00464  R00007    1.
    X00464  R00012    1.
    X00464  R00016    1.
    X00464  R00020    1.
    X00465  COST    0.977618
    X00465  R00001    1.
    X00465  R00002    1.
    X00465  R00003    1.
    X00465  R00009    1.
    X00465  R00013    1.
    X00465  R00015    1.
    X00465  R00018    1.
    X00465  R00020    1.
    X00465  R00023    1.
    X00466  COST    1.01154
    X00466  R00001    1.
    X00466  R00002    1.
    X00466  R00005    1.
    X00466  R00009    1.
    X00466  R00012    1.
    X00466  R00014    1.
    X00466  R00015    1.
    X00466  R00022    1.
    X00466  R00023    1.
    X00467  COST    1.00022
    X00467  R00003    1.
    X00467  R00005    1.
    X00467  R00008    1.
    X00467  R00011    1.
    X00467  R00014    1.
    X00467  R00016    1.
    X00467  R00022    1.
    X00467  R00023    1.
    X00468  COST    1.02695
    X00468  R00001    1.
    X00468  R00006    1.
    X00468  R00009    1.
    X00468  R00010    1.
    X00468  R00017    1.
    X00468  R00022    1.
    X00469  COST    -0.999289
    X00469  R00000    1.
    X00469  R00005    1.
    X00469  R00007    1.
    X00469  R00009    1.
    X00469  R00013    1.
    X00469  R00014    1.
    X00469  R00019    1.
    X00470  COST    0.983492
    X00470  R00001    1.
    X00470  R00006    1.
    X00470  R00011    1.
    X00470  R00012    1.
    X00470  R00014    1.
    X00470  R00020    1.
    X00470  R00021    1.
    X00471  COST    -1.00052
    X00471  R00002    1.
    X00471  R00005    1.
    X00471  R00007    1.
    X00471  R00011    1.
    X00471  R00015    1.
    X00471  R00018    1.
    X00471  R00019    1.
    X00472  COST    1.01081
    X00472  R00004    1.
    X00472  R00006    1.
    X00472  R00010    1.
    X00472  R00012    1.
    X00472  R00013    1.
    X00472  R00015    1.
    X00472  R00020    1.
    X00472  R00023    1.
    X00473  COST    -1.01729
    X00473  R00001    1.
    X00473  R00004    1.
    X00473  R00010    1.
    X00473  R00012    1.
    X00473  R00018    1.
    X00473  R00019    1.
    X00473  R00022    1.
    X00474  COST    -1.00804
    X00474  R00004    1.
    X00474  R00005    1.
    X00474  R00008    1.
    X00474  R00010    1.
    X00474  R00012    1.
    X00474  R00015    1.
    X00474  R00017    1.
    X00474  R00021    1.
    X00475  COST    0.973431
    X00475  R00000    1.
    X00475  R00003    1.
    X00475  R00008    1.
    X00475  R00010    1.
    X00475  R00011    1.
    X00475  R00014    1.
    X00475  R00018    1.
    X00476  COST    0.996617
    X00476  R00003    1.
    X00476  R00006    1.
    X00476  R00008    1.
    X00476  R00012    1.
    X00476  R00013    1.
    X00476  R00016    1.
    X00476  R00021    1.
    X00477  COST    -0.993501
    X00477  R00002    1.
    X00477  R00004    1.
    X00477  R00008    1.
    X00477  R00010    1.
    X00477  R00012    1.
    X00477  R00017    1.
    X00477  R00019    1.
    X00477  R00021    1.
    X00478  COST    0.996261
    X00478  R00000    1.
    X00478  R00011    1.
    X00478  R00015    1.
    X00478  R00017    1.
    X00478  R00023    1.
    X00479  COST    0.988963
    X00479  R00000    1.
    X00479  R00007    1.
    X00479  R00015    1.
    X00479  R00018    1.
    X00479  R00022    1.
    X00480  COST    1.00065
    X00480  R00002    1.
    X00480  R00007    1.
    X00480  R00011    1.
    X00480  R00013    1.
    X00480  R00016    1.
    X00480  R00017    1.
    X00480  R00020    1.
    X00481  COST    -1.01897
    X00481  R00000    1.
    X00481  R00002    1.
    X00481  R00010    1.
    X00481  R00012    1.
    X00481  R00013    1.
    X00481  R00020    1.
    X00481  R00023    1.
    X00482  COST    1.0007
    X00482  R00001    1.
    X00482  R00008    1.
    X00482  R00009    1.
    X00482  R00011    1.
    X00482  R00013    1.
    X00482  R00014    1.
    X00482  R00016    1.
    X00482  R00022    1.
    X00482  R00023    1.
    X00483  COST    1.02703
    X00483  R00002    1.
    X00483  R00005    1.
    X00483  R00009    1.
    X00483  R00016    1.
    X00483  R00017    1.
    X00483  R00022    1.
    X00484  COST    0.983589
    X00484  R00000    1.
    X00484  R00003    1.
    X00484  R00004    1.
    X00484  R00009    1.
    X00484  R00010    1.
    X00484  R00017    1.
    X00484  R00021    1.
    X00484  R00023    1.
    X00485  COST    0.996963
    X00485  R00000    1.
    X00485  R00009    1.
    X00485  R00011    1.
    X00485  R00012    1.
    X00485  R00022    1.
    X00486  COST    -0.99855
    X00486  R00001    1.
    X00486  R00002    1.
    X00486  R00003    1.
    X00486  R00004    1.
    X00486  R00006    1.
    X00486  R00009    1.
    X00486  R00011    1.
    X00486  R00013    1.
    X00487  COST    -1.00462
    X00487  R00002    1.
    X00487  R00003    1.
    X00487  R00005    1.
    X00487  R00006    1.
    X00487  R00019    1.
    X00487  R00021    1.
    X00487  R00023    1.
    X00488  COST    -1.00509
    X00488  R00001    1.
    X00488  R00003    1.
    X00488  R00007    1.
    X00488  R00012    1.
    X00488  R00017    1.
    X00488  R00019    1.
    X00488  R00022    1.
    X00488  R00023    1.
    X00489  COST    1.01258
    X00489  R00000    1.
    X00489  R00001    1.
    X00489  R00004    1.
    X00489  R00005    1.
    X00489  R00018    1.
    X00489  R00020    1.
    X00489  R00022    1.
    X00490  COST    1.00366
    X00490  R00005    1.
    X00490  R00006    1.
    X00490  R00007    1.
    X00490  R00011    1.
    X00490  R00015    1.
    X00490  R00016    1.
    X00490  R00018    1.
    X00491  COST    1.01072
    X00491  R00002    1.
    X00491  R00006    1.
    X00491  R00007    1.
    X00491  R00010    1.
    X00491  R00013    1.
    X00491  R00015    1.
    X00491  R00019    1.
    X00491  R00020    1.
    X00492  COST    -1.0009
    X00492  R00007    1.
    X00492  R00008    1.
    X00492  R00011    1.
    X00492  R00012    1.
    X00492  R00019    1.
    X00492  R00020    1.
    X00492  R00023    1.
    X00493  COST    1.00381
    X00493  R00004    1.
    X00493  R00010    1.
    X00493  R00011    1.
    X00493  R00015    1.
    X00493  R00016    1.
    X00493  R00018    1.
    X00493  R00020    1.
    X00493  R00022    1.
    X00494  COST    1.00181
    X00494  R00004    1.
    X00494  R00009    1.
    X00494  R00010    1.
    X00494  R00011    1.
    X00494  R00013    1.
    X00494  R00017    1.
    X00494  R00018    1.
    X00495  R00000    1.
    X00495  R00015    1.
    X00495  R00028    1.
    X00495  R00042    1.
    X00495  R00056    1.
    X00496  R00000    1.
    X00496  R00037    1.
    X00496  R00043    1.
    X00497  R00016    1.
    X00497  R00047    1.
    X00497  R00057    1.
    X00498  R00001    1.
    X00498  R00014    1.
    X00498  R00044    1.
    X00499  R00017    1.
    X00499  R00028    1.
    X00499  R00058    1.
    X00500  R00002    1.
    X00500  R00015    1.
    X00500  R00034    1.
    X00500  R00045    1.
    X00500  R00054    1.
    X00501  R00003    1.
    X00502  R00018    1.
    X00503  R00004    1.
    X00503  R00016    1.
    X00503  R00045    1.
    X00503  R00055    1.
    X00504  R00005    1.
    X00504  R00046    1.
    X00505  R00019    1.
    X00505  R00059    1.
    X00506  R00006    1.
    X00506  R00020    1.
    X00506  R00047    1.
    X00506  R00052    1.
    X00507  R00021    1.
    X00507  R00029    1.
    X00507  R00060    1.
    X00508  R00030    1.
    X00508  R00038    1.
    X00509  R00007    1.
    X00509  R00022    1.
    X00509  R00029    1.
    X00509  R00035    1.
    X00509  R00061    1.
    X00510  R00008    1.
    X00510  R00036    1.
    X00510  R00060    1.
    X00511  R00009    1.
    X00511  R00024    1.
    X00511  R00053    1.
    X00512  R00010    1.
    X00512  R00025    1.
    X00512  R00048    1.
    X00512  R00054    1.
    X00513  R00011    1.
    X00513  R00026    1.
    X00513  R00037    1.
    X00514  R00012    1.
    X00514  R00027    1.
    X00514  R00038    1.
    X00514  R00055    1.
    X00515  R00031    1.
    X00515  R00039    1.
    X00515  R00062    1.
    X00516  R00012    1.
    X00516  R00025    1.
    X00516  R00053    1.
    X00517  R00011    1.
    X00517  R00024    1.
    X00517  R00036    1.
    X00517  R00062    1.
    X00518  R00010    1.
    X00518  R00023    1.
    X00518  R00035    1.
    X00518  R00052    1.
    X00519  R00009    1.
    X00519  R00023    1.
    X00519  R00040    1.
    X00519  R00051    1.
    X00520  R00041    1.
    X00520  R00048    1.
    X00521  R00032    1.
    X00521  R00049    1.
    X00521  R00061    1.
    X00522  R00008    1.
    X00522  R00022    1.
    X00522  R00027    1.
    X00522  R00034    1.
    X00522  R00050    1.
    X00523  R00007    1.
    X00523  R00033    1.
    X00524  R00006    1.
    X00524  R00051    1.
    X00525  R00005    1.
    X00525  R00032    1.
    X00525  R00044    1.
    X00525  R00059    1.
    X00526  R00021    1.
    X00526  R00041    1.
    X00526  R00046    1.
    X00526  R00058    1.
    X00527  R00004    1.
    X00527  R00014    1.
    X00528  R00020    1.
    X00528  R00031    1.
    X00529  R00003    1.
    X00529  R00019    1.
    X00529  R00040    1.
    X00529  R00057    1.
    X00530  R00018    1.
    X00530  R00030    1.
    X00530  R00050    1.
    X00531  R00002    1.
    X00531  R00013    1.
    X00531  R00033    1.
    X00531  R00043    1.
    X00532  R00017    1.
    X00532  R00026    1.
    X00532  R00049    1.
    X00532  R00056    1.
    X00533  R00001    1.
    X00533  R00013    1.
    X00533  R00039    1.
    X00533  R00042    1.
    Z00000  R00000    -2.
    Z00001  R00001    -2.
    Z00002  R00002    -2.
    Z00003  R00003    -2.
    Z00004  R00004    -2.
    Z00005  R00005    -2.
    Z00006  R00006    -2.
    Z00007  R00007    -2.
    Z00008  R00008    -2.
    Z00009  R00009    -2.
    Z00010  R00010    -2.
    Z00011  R00011    -2.
    Z00012  R00012    -2.
    Z00013  R00013    -2.
    Z00014  R00014    -2.
    Z00015  R00015    -2.
    Z00016  R00016    -2.
    Z00017  R00017    -2.
    Z00018  R00018    -2.
    Z00019  R00019    -2.
    Z00020  R00020    -2.
    Z00021  R00021    -2.
    Z00022  R00022    -2.
    Z00023  R00023    -2.
    Z00024  R00024    -2.
    Z00025  R00025    -2.
    Z00026  R00026    -2.
    Z00027  R00027    -2.
    Z00028  R00028    -2.
    Z00029  R00029    -2.
    Z00030  R00030    -2.
    Z00031  R00031    -2.
    Z00032  R00032    -2.
    Z00033  R00033    -2.
    Z00034  R00034    -2.
    Z00035  R00035    -2.
    Z00036  R00036    -2.
    Z00037  R00037    -2.
    Z00038  R00038    -2.
    Z00039  R00039    -2.
    Z00040  R00040    -2.
    Z00041  R00041    -2.
    Z00042  R00042    -2.
    Z00043  R00043    -2.
    Z00044  R00044    -2.
    Z00045  R00045    -2.
    Z00046  R00046    -2.
    Z00047  R00047    -2.
    Z00048  R00048    -2.
    Z00049  R00049    -2.
    Z00050  R00050    -2.
    Z00051  R00051    -2.
    Z00052  R00052    -2.
    Z00053  R00053    -2.
    Z00054  R00054    -2.
    Z00055  R00055    -2.
    Z00056  R00056    -2.
    Z00057  R00057    -2.
    Z00058  R00058    -2.
    Z00059  R00059    -2.
    Z00060  R00060    -2.
    Z00061  R00061    -2.
    Z00062  R00062    -2.
RHS
    RHS	R00000     0.
    RHS	R00001     0.
    RHS	R00002     0.
    RHS	R00003     0.
    RHS	R00004     0.
    RHS	R00005     0.
    RHS	R00006     0.
    RHS	R00007     0.
    RHS	R00008     0.
    RHS	R00009     0.
    RHS	R00010     0.
    RHS	R00011     0.
    RHS	R00012     0.
    RHS	R00013     0.
    RHS	R00014     0.
    RHS	R00015     0.
    RHS	R00016     0.
    RHS	R00017     0.
    RHS	R00018     0.
    RHS	R00019     0.
    RHS	R00020     0.
    RHS	R00021     0.
    RHS	R00022     0.
    RHS	R00023     0.
    RHS	R00024     0.
    RHS	R00025     0.
    RHS	R00026     0.
    RHS	R00027     0.
    RHS	R00028     0.
    RHS	R00029     0.
    RHS	R00030     0.
    RHS	R00031     0.
    RHS	R00032     0.
    RHS	R00033     0.
    RHS	R00034     0.
    RHS	R00035     0.
    RHS	R00036     0.
    RHS	R00037     0.
    RHS	R00038     0.
    RHS	R00039     0.
    RHS	R00040     0.
    RHS	R00041     0.
    RHS	R00042     0.
    RHS	R00043     0.
    RHS	R00044     0.
    RHS	R00045     0.
    RHS	R00046     0.
    RHS	R00047     0.
    RHS	R00048     0.
    RHS	R00049     0.
    RHS	R00050     0.
    RHS	R00051     0.
    RHS	R00052     0.
    RHS	R00053     0.
    RHS	R00054     0.
    RHS	R00055     0.
    RHS	R00056     0.
    RHS	R00057     0.
    RHS	R00058     0.
    RHS	R00059     0.
    RHS	R00060     0.
    RHS	R00061     0.
    RHS	R00062     0.
BOUNDS
 LO    BND1      X00000                 0.
 LO    BND1      X00001                 0.
 LO    BND1      X00002                 0.
 LO    BND1      X00003                 0.
 LO    BND1      X00004                 0.
 LO    BND1      X00005                 0.
 LO    BND1      X00006                 0.
 LO    BND1      X00007                 0.
 LO    BND1      X00008                 0.
 LO    BND1      X00009                 0.
 LO    BND1      X00010                 0.
 LO    BND1      X00011                 0.
 LO    BND1      X00012                 0.
 LO    BND1      X00014                 0.
 LO    BND1      X00015                 0.
 LO    BND1      X00016                 0.
 LO    BND1      X00017                 0.
 LO    BND1      X00018                 0.
 LO    BND1      X00019                 0.
 LO    BND1      X00020                 0.
 LO    BND1      X00021                 0.
 LO    BND1      X00022                 0.
 LO    BND1      X00023                 0.
 LO    BND1      X00025                 0.
 LO    BND1      X00026                 0.
 LO    BND1      X00027                 0.
 LO    BND1      X00028                 0.
 LO    BND1      X00029                 0.
 LO    BND1      X00030                 0.
 LO    BND1      X00031                 0.
 LO    BND1      X00032                 0.
 LO    BND1      X00033                 0.
 LO    BND1      X00034                 0.
 LO    BND1      X00036                 0.
 LO    BND1      X00037                 0.
 LO    BND1      X00038                 0.
 LO    BND1      X00039                 0.
 LO    BND1      X00040                 0.
 LO    BND1      X00041                 0.
 LO    BND1      X00042                 0.
 LO    BND1      X00043                 0.
 LO    BND1      X00044                 0.
 LO    BND1      X00046                 0.
 LO    BND1      X00047                 0.
 LO    BND1      X00048                 0.
 LO    BND1      X00049                 0.
 LO    BND1      X00050                 0.
 LO    BND1      X00051                 0.
 LO    BND1      X00052                 0.
 LO    BND1      X00053                 0.
 LO    BND1      X00054                 0.
 LO    BND1      X00056                 0.
 LO    BND1      X00057                 0.
 LO    BND1      X00058                 0.
 LO    BND1      X00059                 0.
 LO    BND1      X00060                 0.
 LO    BND1      X00061                 0.
 LO    BND1      X00062                 0.
 LO    BND1      X00063                 0.
 LO    BND1      X00064                 0.
 LO    BND1      X00065                 0.
 LO    BND1      X00066                 0.
 LO    BND1      X00067                 0.
 LO    BND1      X00069                 0.
 LO    BND1      X00070                 0.
 LO    BND1      X00071                 0.
 LO    BND1      X00072                 0.
 LO    BND1      X00073                 0.
 LO    BND1      X00074                 0.
 LO    BND1      X00075                 0.
 LO    BND1      X00076                 0.
 LO    BND1      X00078                 0.
 LO    BND1      X00079                 0.
 LO    BND1      X00080                 0.
 LO    BND1      X00081                 0.
 LO    BND1      X00082                 0.
 LO    BND1      X00083                 0.
 LO    BND1      X00084                 0.
 LO    BND1      X00085                 0.
 LO    BND1      X00086                 0.
 LO    BND1      X00088                 0.
 LO    BND1      X00089                 0.
 LO    BND1      X00090                 0.
 LO    BND1      X00091                 0.
 LO    BND1      X00092                 0.
 LO    BND1      X00093                 0.
 LO    BND1      X00094                 0.
 LO    BND1      X00096                 0.
 LO    BND1      X00097                 0.
 LO    BND1      X00098                 0.
 LO    BND1      X00099                 0.
 LO    BND1      X00100                 0.
 LO    BND1      X00101                 0.
 LO    BND1      X00102                 0.
 LO    BND1      X00104                 0.
 LO    BND1      X00105                 0.
 LO    BND1      X00106                 0.
 LO    BND1      X00107                 0.
 LO    BND1      X00108                 0.
 LO    BND1      X00109                 0.
 LO    BND1      X00111                 0.
 LO    BND1      X00112                 0.
 LO    BND1      X00113                 0.
 LO    BND1      X00114                 0.
 LO    BND1      X00115                 0.
 LO    BND1      X00116                 0.
 LO    BND1      X00117                 0.
 LO    BND1      X00118                 0.
 LO    BND1      X00120                 0.
 LO    BND1      X00121                 0.
 LO    BND1      X00122                 0.
 LO    BND1      X00123                 0.
 LO    BND1      X00124                 0.
 LO    BND1      X00126                 0.
 LO    BND1      X00127                 0.
 LO    BND1      X00128                 0.
 LO    BND1      X00129                 0.
 LO    BND1      X00130                 0.
 LO    BND1      X00132                 0.
 LO    BND1      X00133                 0.
 LO    BND1      X00134                 0.
 LO    BND1      X00135                 0.
 LO    BND1      X00136                 0.
 LO    BND1      X00137                 0.
 LO    BND1      X00138                 0.
 LO    BND1      X00139                 0.
 LO    BND1      X00140                 0.
 LO    BND1      X00142                 0.
 LO    BND1      X00143                 0.
 LO    BND1      X00144                 0.
 LO    BND1      X00145                 0.
 LO    BND1      X00146                 0.
 LO    BND1      X00147                 0.
 LO    BND1      X00148                 0.
 LO    BND1      X00149                 0.
 LO    BND1      X00151                 0.
 LO    BND1      X00152                 0.
 LO    BND1      X00153                 0.
 LO    BND1      X00154                 0.
 LO    BND1      X00155                 0.
 LO    BND1      X00156                 0.
 LO    BND1      X00158                 0.
 LO    BND1      X00159                 0.
 LO    BND1      X00160                 0.
 LO    BND1      X00161                 0.
 LO    BND1      X00163                 0.
 LO    BND1      X00164                 0.
 LO    BND1      X00165                 0.
 LO    BND1      X00166                 0.
 LO    BND1      X00167                 0.
 LO    BND1      X00169                 0.
 LO    BND1      X00170                 0.
 LO    BND1      X00171                 0.
 LO    BND1      X00172                 0.
 LO    BND1      X00173                 0.
 LO    BND1      X00174                 0.
 LO    BND1      X00175                 0.
 LO    BND1      X00176                 0.
 LO    BND1      X00177                 0.
 LO    BND1      X00178                 0.
 LO    BND1      X00180                 0.
 LO    BND1      X00181                 0.
 LO    BND1      X00182                 0.
 LO    BND1      X00183                 0.
 LO    BND1      X00184                 0.
 LO    BND1      X00185                 0.
 LO    BND1      X00187                 0.
 LO    BND1      X00188                 0.
 LO    BND1      X00189                 0.
 LO    BND1      X00190                 0.
 LO    BND1      X00191                 0.
 LO    BND1      X00192                 0.
 LO    BND1      X00193                 0.
 LO    BND1      X00195                 0.
 LO    BND1      X00196                 0.
 LO    BND1      X00197                 0.
 LO    BND1      X00198                 0.
 LO    BND1      X00199                 0.
 LO    BND1      X00200                 0.
 LO    BND1      X00202                 0.
 LO    BND1      X00203                 0.
 LO    BND1      X00204                 0.
 LO    BND1      X00205                 0.
 LO    BND1      X00229                 0.
 LO    BND1      X00230                 0.
 LO    BND1      X00231                 0.
 LO    BND1      X00232                 0.
 LO    BND1      X00233                 0.
 LO    BND1      X00234                 0.
 LO    BND1      X00235                 0.
 LO    BND1      X00236                 0.
 LO    BND1      X00237                 0.
 LO    BND1      X00238                 0.
 LO    BND1      X00239                 0.
 LO    BND1      X00240                 0.
 LO    BND1      X00241                 0.
 LO    BND1      X00242                 0.
 LO    BND1      X00243                 0.
 LO    BND1      X00244                 0.
 LO    BND1      X00245                 0.
 LO    BND1      X00246                 0.
 LO    BND1      X00247                 0.
 LO    BND1      X00248                 0.
 LO    BND1      X00249                 0.
 LO    BND1      X00250                 0.
 LO    BND1      X00251                 0.
 LO    BND1      X00252                 0.
 LO    BND1      X00253                 0.
 LO    BND1      X00254                 0.
 LO    BND1      X00255                 0.
 LO    BND1      X00256                 0.
 LO    BND1      X00257                 0.
 LO    BND1      X00258                 0.
 LO    BND1      X00259                 0.
 LO    BND1      X00260                 0.
 LO    BND1      X00261                 0.
 LO    BND1      X00262                 0.
 LO    BND1      X00263                 0.
 LO    BND1      X00264                 0.
 LO    BND1      X00265                 0.
 LO    BND1      X00266                 0.
 LO    BND1      X00267                 0.
 LO    BND1      X00268                 0.
 LO    BND1      X00269                 0.
 LO    BND1      X00270                 0.
 LO    BND1      X00271                 0.
 LO    BND1      X00272                 0.
 LO    BND1      X00273                 0.
 LO    BND1      X00274                 0.
 LO    BND1      X00275                 0.
 LO    BND1      X00276                 0.
 LO    BND1      X00277                 0.
 LO    BND1      X00278                 0.
 LO    BND1      X00279                 0.
 LO    BND1      X00280                 0.
 LO    BND1      X00281                 0.
 LO    BND1      X00282                 0.
 LO    BND1      X00283                 0.
 LO    BND1      X00284                 0.
 LO    BND1      X00285                 0.
 LO    BND1      X00286                 0.
 LO    BND1      X00287                 0.
 LO    BND1      X00288                 0.
 LO    BND1      X00289                 0.
 LO    BND1      X00290                 0.
 LO    BND1      X00291                 0.
 LO    BND1      X00292                 0.
 LO    BND1      X00293                 0.
 LO    BND1      X00294                 0.
 LO    BND1      X00295                 0.
 LO    BND1      X00296                 0.
 LO    BND1      X00297                 0.
 LO    BND1      X00298                 0.
 LO    BND1      X00299                 0.
 LO    BND1      X00300                 0.
