NAME          Proxy
 G  R00196
 G  R00197
 G  R00198
 L  R00199
 G  R00200
 G  R00201
 G  R00202
 L  R00203
 G  R00204
 G  R00205
 G  R00206
 L  R00207
 G  R00208
 G  R00209
 G  R00210
 L  R00211
 G  R00212
 G  R00213
 G  R00214
 L  R00215
 G  R00216
 G  R00217
 G  R00218
 L  R00219
 G  R00220
 G  R00221
 G  R00222
 L  R00223
 E  R00224
 E  R00225
 E  R00226
 E  R00227
 E  R00228
 E  R00229
 E  R00230
 E  R00231
 E  R00232
 E  R00233
 E  R00234
 E  R00235
 E  R00236
 E  R00237
 E  R00238
 E  R00239
 G  R00240
 G  R00241
 G  R00242
 L  R00243
 G  R00244
 G  R00245
 G  R00246
 L  R00247
 G  R00248
 G  R00249
 G  R00250
 L  R00251
 G  R00252
 G  R00253
 G  R00254
 L  R00255
 G  R00256
 G  R00257
 G  R00258
 L  R00259
 G  R00260
 G  R00261
 G  R00262
 L  R00263
 G  R00264
 G  R00265
 G  R00266
 L  R00267
 G  R00268
 G  R00269
 G  R00270
 L  R00271
 G  R00272
 G  R00273
 G  R00274
 L  R00275
 G  R00276
 G  R00277
 G  R00278
 L  R00279
 G  R00280
 G  R00281
 G  R00282
 L  R00283
 G  R00284
 G  R00285
 G  R00286
 L  R00287
 G  R00288
 G  R00289
 G  R00290
 L  R00291
 G  R00292
 G  R00293
 G  R00294
 L  R00295
 G  R00296
 G  R00297
 G  R00298
 L  R00299
 G  R00300
 G  R00301
 G  R00302
 L  R00303
 E  R00304
 E  R00305
 E  R00306
 E  R00307
 E  R00308
 E  R00309
 E  R00310
 E  R00311
 E  R00312
 E  R00313
 E  R00314
 E  R00315
 E  R00316
 E  R00317
 E  R00318
 E  R00319
 G  R00320
 G  R00321
 G  R00322
 L  R00323
 G  R00324
 G  R00325
 G  R00326
 L  R00327
 G  R00328
 G  R00329
 G  R00330
 L  R00331
 G  R00332
 G  R00333
 G  R00334
 L  R00335
 G  R00336
 G  R00337
 G  R00338
 L  R00339
 G  R00340
 G  R00341
 G  R00342
 L  R00343
 G  R00344
 G  R00345
 G  R00346
 L  R00347
 G  R00348
 G  R00349
 G  R00350
 L  R00351
 E  R00352
 E  R00353
 E  R00354
 E  R00355
 E  R00356
 E  R00357
 E  R00358
 E  R00359
 G  R00360
 G  R00361
 G  R00362
 L  R00363
 G  R00364
 G  R00365
 G  R00366
 L  R00367
 G  R00368
 G  R00369
 G  R00370
 L  R00371
 G  R00372
 G  R00373
 G  R00374
 L  R00375
 G  R00376
 G  R00377
 G  R00378
 L  R00379
 G  R00380
 G  R00381
 G  R00382
 L  R00383
 G  R00384
 G  R00385
 G  R00386
 L  R00387
 G  R00388
 G  R00389
 G  R00390
 L  R00391
 E  R00392
 E  R00393
 E  R00394
 E  R00395
 E  R00396
 E  R00397
 E  R00398
 E  R00399
 G  R00400
 G  R00401
 G  R00402
 L  R00403
 G  R00404
 G  R00405
 G  R00406
 L  R00407
 G  R00408
 G  R00409
 G  R00410
 L  R00411
 G  R00412
 G  R00413
 G  R00414
 L  R00415
 G  R00416
 G  R00417
 G  R00418
 L  R00419
 G  R00420
 G  R00421
 G  R00422
 L  R00423
 G  R00424
 G  R00425
 G  R00426
 L  R00427
 G  R00428
 G  R00429
 G  R00430
 L  R00431
 E  R00432
 E  R00433
 E  R00434
 E  R00435
 E  R00436
 E  R00437
 E  R00438
 E  R00439
 G  R00440
 G  R00441
 G  R00442
 L  R00443
 G  R00444
 G  R00445
 G  R00446
 L  R00447
 G  R00448
 G  R00449
 G  R00450
 L  R00451
 G  R00452
 G  R00453
 G  R00454
 L  R00455
 G  R00456
 G  R00457
 G  R00458
 L  R00459
 G  R00460
 G  R00461
 G  R00462
 L  R00463
 G  R00464
 G  R00465
 G  R00466
 L  R00467
 G  R00468
 G  R00469
 G  R00470
 L  R00471
 E  R00472
 E  R00473
 E  R00474
 E  R00475
 E  R00476
 E  R00477
 E  R00478
 E  R00479
 G  R00480
 G  R00481
 G  R00482
 L  R00483
 G  R00484
 G  R00485
 G  R00486
 L  R00487
 G  R00488
 G  R00489
 G  R00490
 L  R00491
 G  R00492
 G  R00493
 G  R00494
 L  R00495
 E  R00496
 E  R00497
 E  R00498
 E  R00499
 G  R00500
 G  R00501
 G  R00502
 L  R00503
 G  R00504
 G  R00505
 G  R00506
 L  R00507
 G  R00508
 G  R00509
 G  R00510
 L  R00511
 G  R00512
 G  R00513
 G  R00514
 L  R00515
 E  R00516
 E  R00517
 E  R00518
 E  R00519
 G  R00520
 G  R00521
 G  R00522
 L  R00523
 G  R00524
 G  R00525
 G  R00526
 L  R00527
 G  R00528
 G  R00529
 G  R00530
 L  R00531
 G  R00532
 G  R00533
 G  R00534
 L  R00535
 E  R00536
 E  R00537
 E  R00538
 E  R00539
 G  R00540
 G  R00541
 G  R00542
 L  R00543
 G  R00544
 G  R00545
 G  R00546
 L  R00547
 G  R00548
 G  R00549
 G  R00550
 L  R00551
 G  R00552
 G  R00553
 G  R00554
 L  R00555
 E  R00556
 E  R00557
 E  R00558
 E  R00559
 G  R00560
 G  R00561
 G  R00562
 L  R00563
 G  R00564
 G  R00565
 G  R00566
 L  R00567
 G  R00568
 G  R00569
 G  R00570
 L  R00571
 G  R00572
 G  R00573
 G  R00574
 L  R00575
 E  R00576
 E  R00577
 E  R00578
 E  R00579
 G  R00580
 G  R00581
 G  R00582
 L  R00583
 G  R00584
 G  R00585
 G  R00586
 L  R00587
 G  R00588
 G  R00589
 G  R00590
 L  R00591
 G  R00592
 G  R00593
 G  R00594
 L  R00595
 E  R00596
 E  R00597
 E  R00598
 E  R00599
 G  R00600
 G  R00601
 G  R00602
 L  R00603
 G  R00604
 G  R00605
 G  R00606
 L  R00607
 G  R00608
 G  R00609
 G  R00610
 L  R00611
 G  R00612
 G  R00613
 G  R00614
 L  R00615
 E  R00616
 E  R00617
 E  R00618
 E  R00619
 G  R00620
 G  R00621
 G  R00622
 L  R00623
 G  R00624
 G  R00625
 G  R00626
 L  R00627
 G  R00628
 G  R00629
 G  R00630
 L  R00631
 G  R00632
 G  R00633
 G  R00634
 L  R00635
 E  R00636
 E  R00637
 E  R00638
 E  R00639
 G  R00640
 G  R00641
 G  R00642
 L  R00643
 G  R00644
 G  R00645
 G  R00646
 L  R00647
 E  R00648
 E  R00649
 G  R00650
 G  R00651
 G  R00652
 L  R00653
 G  R00654
 G  R00655
 G  R00656
 L  R00657
 E  R00658
 E  R00659
 G  R00660
 G  R00661
 G  R00662
 L  R00663
 G  R00664
 G  R00665
 G  R00666
 L  R00667
 E  R00668
 E  R00669
 G  R00670
 G  R00671
 G  R00672
 L  R00673
 G  R00674
 G  R00675
 G  R00676
 L  R00677
 E  R00678
 E  R00679
 G  R00680
 G  R00681
 G  R00682
 L  R00683
 G  R00684
 G  R00685
 G  R00686
 L  R00687
 E  R00688
 E  R00689
 G  R00690
 G  R00691
 G  R00692
 L  R00693
 G  R00694
 G  R00695
 G  R00696
 L  R00697
 E  R00698
 E  R00699
 G  R00700
 G  R00701
 G  R00702
 L  R00703
 G  R00704
 G  R00705
 G  R00706
 L  R00707
 E  R00708
 E  R00709
 G  R00710
 G  R00711
 G  R00712
 L  R00713
 G  R00714
 G  R00715
 G  R00716
 L  R00717
 E  R00718
 E  R00719
 G  R00720
 G  R00721
 G  R00722
 L  R00723
 G  R00724
 G  R00725
 G  R00726
 L  R00727
 E  R00728
 E  R00729
 G  R00730
 G  R00731
 G  R00732
 L  R00733
 G  R00734
 G  R00735
 G  R00736
 L  R00737
 E  R00738
 E  R00739
 G  R00740
 G  R00741
 G  R00742
 L  R00743
 G  R00744
 G  R00745
 G  R00746
 L  R00747
 E  R00748
 E  R00749
 G  R00750
 G  R00751
 G  R00752
 L  R00753
 G  R00754
 G  R00755
 G  R00756
 L  R00757
 E  R00758
 E  R00759
 G  R00760
 G  R00761
 G  R00762
 L  R00763
 G  R00764
 G  R00765
 G  R00766
 L  R00767
 E  R00768
 E  R00769
 G  R00770
 G  R00771
 G  R00772
 L  R00773
 G  R00774
 G  R00775
 G  R00776
 L  R00777
 E  R00778
 E  R00779
 G  R00780
 G  R00781
 G  R00782
 L  R00783
 G  R00784
 G  R00785
 G  R00786
 L  R00787
 E  R00788
 E  R00789
 G  R00790
 G  R00791
 G  R00792
 L  R00793
 G  R00794
 G  R00795
 G  R00796
 L  R00797
 E  R00798
 E  R00799
 G  R00800
 G  R00801
 G  R00802
 L  R00803
 E  R00804
 G  R00805
 G  R00806
 G  R00807
 L  R00808
 E  R00809
 G  R00810
 G  R00811
 G  R00812
 L  R00813
 E  R00814
 G  R00815
 G  R00816
 G  R00817
 L  R00818
 E  R00819
 G  R00820
 G  R00821
 G  R00822
 L  R00823
 E  R00824
 G  R00825
 G  R00826
 G  R00827
 L  R00828
 E  R00829
 G  R00830
 G  R00831
 G  R00832
 L  R00833
 E  R00834
 G  R00835
 G  R00836
 G  R00837
 L  R00838
 E  R00839
 G  R00840
 G  R00841
 G  R00842
 L  R00843
 E  R00844
 G  R00845
 G  R00846
 G  R00847
 L  R00848
 E  R00849
 G  R00850
 G  R00851
 G  R00852
 L  R00853
 E  R00854
 G  R00855
 G  R00856
 G  R00857
 L  R00858
 E  R00859
 G  R00860
 G  R00861
 G  R00862
 L  R00863
 E  R00864
 G  R00865
 G  R00866
 G  R00867
 L  R00868
 E  R00869
 G  R00870
 G  R00871
 G  R00872
 L  R00873
 E  R00874
 G  R00875
 G  R00876
 G  R00877
 L  R00878
 E  R00879
 G  R00880
 G  R00881
 G  R00882
 L  R00883
 E  R00884
 G  R00885
 G  R00886
 G  R00887
 L  R00888
 E  R00889
 G  R00890
 G  R00891
 G  R00892
 L  R00893
 E  R00894
 G  R00895
 G  R00896
 G  R00897
 L  R00898
 E  R00899
 G  R00900
 G  R00901
 G  R00902
 L  R00903
 E  R00904
 G  R00905
 G  R00906
 G  R00907
 L  R00908
 E  R00909
 G  R00910
 G  R00911
 G  R00912
 L  R00913
 E  R00914
 G  R00915
 G  R00916
 G  R00917
 L  R00918
 E  R00919
 G  R00920
 G  R00921
 G  R00922
 L  R00923
 E  R00924
 G  R00925
 G  R00926
 G  R00927
 L  R00928
 E  R00929
 G  R00930
 G  R00931
 G  R00932
 L  R00933
 E  R00934
 G  R00935
 G  R00936
 G  R00937
 L  R00938
 E  R00939
 G  R00940
 G  R00941
 G  R00942
 L  R00943
 E  R00944
 G  R00945
 G  R00946
 G  R00947
 L  R00948
 E  R00949
 G  R00950
 G  R00951
 G  R00952
 L  R00953
 E  R00954
 G  R00955
 G  R00956
 G  R00957
 L  R00958
 E  R00959
COLUMNS
    X00000  R00000    1.
    X00000  R00001    1.
    X00000  R00002    -1.
    X00000  R00003    1.
    X00001  R00004    1.
    X00001  R00005    1.
    X00001  R00006    -1.
    X00001  R00007    1.
    X00002  R00008    1.
    X00002  R00009    1.
    X00002  R00010    -1.
    X00002  R00011    1.
    X00003  R00012    1.
    X00003  R00013    1.
    X00003  R00014    -1.
    X00003  R00015    1.
    X00004  R00016    1.
    X00004  R00017    1.
    X00004  R00018    -1.
    X00004  R00019    1.
    X00005  R00020    1.
    X00005  R00021    1.
    X00005  R00022    -1.
    X00005  R00023    1.
    X00006  R00024    1.
    X00006  R00025    1.
    X00006  R00026    -1.
    X00006  R00027    1.
    X00007  R00028    1.
    X00007  R00029    1.
    X00007  R00030    -1.
    X00007  R00031    1.
    X00008  R00032    1.
    X00008  R00033    1.
    X00008  R00034    -1.
    X00008  R00035    1.
    X00009  R00036    1.
    X00009  R00037    1.
    X00009  R00038    -1.
    X00009  R00039    1.
    X00010  R00040    1.
    X00010  R00041    1.
    X00010  R00042    -1.
    X00010  R00043    1.
    X00011  R00044    1.
    X00011  R00045    1.
    X00011  R00046    -1.
    X00011  R00047    1.
    X00012  R00048    1.
    X00012  R00049    1.
    X00012  R00050    -1.
    X00012  R00051    1.
    X00013  R00052    1.
    X00013  R00053    1.
    X00013  R00054    -1.
    X00013  R00055    1.
    X00014  R00056    1.
    X00014  R00057    1.
    X00014  R00058    -1.
    X00014  R00059    1.
    X00015  R00060    1.
    X00015  R00061    1.
    X00015  R00062    -1.
    X00015  R00063    1.
    X00016  R00064    1.
    X00016  R00065    1.
    X00016  R00066    -1.
    X00016  R00067    1.
    X00017  R00068    1.
    X00017  R00069    1.
    X00017  R00070    -1.
    X00017  R00071    1.
    X00018  R00072    1.
    X00018  R00073    1.
    X00018  R00074    -1.
    X00018  R00075    1.
    X00019  R00076    1.
    X00019  R00077    1.
    X00019  R00078    -1.
    X00019  R00079    1.
    X00020  R00080    1.
    X00020  R00081    1.
    X00020  R00082    -1.
    X00020  R00083    1.
    X00021  R00084    1.
    X00021  R00085    1.
    X00021  R00086    -1.
    X00021  R00087    1.
    X00022  R00088    1.
    X00022  R00089    1.
    X00022  R00090    -1.
    X00022  R00091    1.
    X00023  R00092    1.
    X00023  R00093    1.
    X00023  R00094    -1.
    X00023  R00095    1.
    X00024  R00096    1.
    X00024  R00097    1.
    X00024  R00098    -1.
    X00024  R00099    1.
    X00025  R00100    1.
    X00025  R00101    1.
    X00025  R00102    -1.
    X00025  R00103    1.
    X00026  R00104    1.
    X00026  R00105    1.
    X00026  R00106    -1.
    X00026  R00107    1.
    X00027  R00108    1.
    X00027  R00109    1.
    X00027  R00110    -1.
    X00027  R00111    1.
    X00028  R00112    1.
    X00028  R00113    1.
    X00028  R00114    -1.
    X00028  R00115    1.
    X00029  R00116    1.
    X00029  R00117    1.
    X00029  R00118    -1.
    X00029  R00119    1.
    X00030  R00120    1.
    X00030  R00121    1.
    X00030  R00122    -1.
    X00030  R00123    1.
    X00031  R00124    1.
    X00031  R00125    1.
    X00031  R00126    -1.
    X00031  R00127    1.
    X00032  R00000    -1.
    X00032  R00001    1.
    X00032  R00002    1.
    X00032  R00003    1.
    X00032  R00128    1.
    X00033  R00004    -1.
    X00033  R00005    1.
    X00033  R00006    1.
    X00033  R00007    1.
    X00033  R00129    1.
    X00034  R00008    -1.
    X00034  R00009    1.
    X00034  R00010    1.
    X00034  R00011    1.
    X00034  R00130    1.
    X00035  R00012    -1.
    X00035  R00013    1.
    X00035  R00014    1.
    X00035  R00015    1.
    X00035  R00131    1.
    X00036  R00016    -1.
    X00036  R00017    1.
    X00036  R00018    1.
    X00036  R00019    1.
    X00036  R00132    1.
    X00037  R00020    -1.
    X00037  R00021    1.
    X00037  R00022    1.
    X00037  R00023    1.
    X00037  R00133    1.
    X00038  R00024    -1.
    X00038  R00025    1.
    X00038  R00026    1.
    X00038  R00027    1.
    X00038  R00134    1.
    X00039  R00028    -1.
    X00039  R00029    1.
    X00039  R00030    1.
    X00039  R00031    1.
    X00039  R00135    1.
    X00040  R00032    -1.
    X00040  R00033    1.
    X00040  R00034    1.
    X00040  R00035    1.
    X00040  R00136    1.
    X00041  R00036    -1.
    X00041  R00037    1.
    X00041  R00038    1.
    X00041  R00039    1.
    X00041  R00137    1.
    X00042  R00040    -1.
    X00042  R00041    1.
    X00042  R00042    1.
    X00042  R00043    1.
    X00042  R00138    1.
    X00043  R00044    -1.
    X00043  R00045    1.
    X00043  R00046    1.
    X00043  R00047    1.
    X00043  R00139    1.
    X00044  R00048    -1.
    X00044  R00049    1.
    X00044  R00050    1.
    X00044  R00051    1.
    X00044  R00140    1.
    X00045  R00052    -1.
    X00045  R00053    1.
    X00045  R00054    1.
    X00045  R00055    1.
    X00045  R00141    1.
    X00046  R00056    -1.
    X00046  R00057    1.
    X00046  R00058    1.
    X00046  R00059    1.
    X00046  R00142    1.
    X00047  R00060    -1.
    X00047  R00061    1.
    X00047  R00062    1.
    X00047  R00063    1.
    X00047  R00143    1.
    X00048  R00064    -1.
    X00048  R00065    1.
    X00048  R00066    1.
    X00048  R00067    1.
    X00048  R00144    1.
    X00049  R00068    -1.
    X00049  R00069    1.
    X00049  R00070    1.
    X00049  R00071    1.
    X00049  R00145    1.
    X00050  R00072    -1.
    X00050  R00073    1.
    X00050  R00074    1.
    X00050  R00075    1.
    X00050  R00146    1.
    X00051  R00076    -1.
    X00051  R00077    1.
    X00051  R00078    1.
    X00051  R00079    1.
    X00051  R00147    1.
    X00052  R00080    -1.
    X00052  R00081    1.
    X00052  R00082    1.
    X00052  R00083    1.
    X00052  R00148    1.
    X00053  R00084    -1.
    X00053  R00085    1.
    X00053  R00086    1.
    X00053  R00087    1.
    X00053  R00149    1.
    X00054  R00088    -1.
    X00054  R00089    1.
    X00054  R00090    1.
    X00054  R00091    1.
    X00054  R00150    1.
    X00055  R00092    -1.
    X00055  R00093    1.
    X00055  R00094    1.
    X00055  R00095    1.
    X00055  R00151    1.
    X00056  R00096    -1.
    X00056  R00097    1.
    X00056  R00098    1.
    X00056  R00099    1.
    X00056  R00152    1.
    X00057  R00100    -1.
    X00057  R00101    1.
    X00057  R00102    1.
    X00057  R00103    1.
    X00057  R00153    1.
    X00058  R00104    -1.
    X00058  R00105    1.
    X00058  R00106    1.
    X00058  R00107    1.
    X00058  R00154    1.
    X00059  R00108    -1.
    X00059  R00109    1.
    X00059  R00110    1.
    X00059  R00111    1.
    X00059  R00155    1.
    X00060  R00112    -1.
    X00060  R00113    1.
    X00060  R00114    1.
    X00060  R00115    1.
    X00060  R00156    1.
    X00061  R00116    -1.
    X00061  R00117    1.
    X00061  R00118    1.
    X00061  R00119    1.
    X00061  R00157    1.
    X00062  R00120    -1.
    X00062  R00121    1.
    X00062  R00122    1.
    X00062  R00123    1.
    X00062  R00158    1.
    X00063  R00124    -1.
    X00063  R00125    1.
    X00063  R00126    1.
    X00063  R00127    1.
    X00063  R00159    1.
    X00064  R00000    1.
    X00064  R00001    -1.
    X00064  R00002    1.
    X00064  R00003    1.
    X00064  R00160    1.
    X00064  R00161    1.
    X00064  R00162    -1.
    X00064  R00163    1.
    X00065  R00004    1.
    X00065  R00005    -1.
    X00065  R00006    1.
    X00065  R00007    1.
    X00065  R00164    1.
    X00065  R00165    1.
    X00065  R00166    -1.
    X00065  R00167    1.
    X00066  R00008    1.
    X00066  R00009    -1.
    X00066  R00010    1.
    X00066  R00011    1.
    X00066  R00168    1.
    X00066  R00169    1.
    X00066  R00170    -1.
    X00066  R00171    1.
    X00067  R00012    1.
    X00067  R00013    -1.
    X00067  R00014    1.
    X00067  R00015    1.
    X00067  R00172    1.
    X00067  R00173    1.
    X00067  R00174    -1.
    X00067  R00175    1.
    X00068  R00016    1.
    X00068  R00017    -1.
    X00068  R00018    1.
    X00068  R00019    1.
    X00068  R00176    1.
    X00068  R00177    1.
    X00068  R00178    -1.
    X00068  R00179    1.
    X00069  R00020    1.
    X00069  R00021    -1.
    X00069  R00022    1.
    X00069  R00023    1.
    X00069  R00180    1.
    X00069  R00181    1.
    X00069  R00182    -1.
    X00069  R00183    1.
    X00070  R00024    1.
    X00070  R00025    -1.
    X00070  R00026    1.
    X00070  R00027    1.
    X00070  R00184    1.
    X00070  R00185    1.
    X00070  R00186    -1.
    X00070  R00187    1.
    X00071  R00028    1.
    X00071  R00029    -1.
    X00071  R00030    1.
    X00071  R00031    1.
    X00071  R00188    1.
    X00071  R00189    1.
    X00071  R00190    -1.
    X00071  R00191    1.
    X00072  R00032    1.
    X00072  R00033    -1.
    X00072  R00034    1.
    X00072  R00035    1.
    X00072  R00192    1.
    X00072  R00193    1.
    X00072  R00194    -1.
    X00072  R00195    1.
    X00073  R00036    1.
    X00073  R00037    -1.
    X00073  R00038    1.
    X00073  R00039    1.
    X00073  R00196    1.
    X00073  R00197    1.
    X00073  R00198    -1.
    X00073  R00199    1.
    X00074  R00040    1.
    X00074  R00041    -1.
    X00074  R00042    1.
    X00074  R00043    1.
    X00074  R00200    1.
    X00074  R00201    1.
    X00074  R00202    -1.
    X00074  R00203    1.
    X00075  R00044    1.
    X00075  R00045    -1.
    X00075  R00046    1.
    X00075  R00047    1.
    X00075  R00204    1.
    X00075  R00205    1.
    X00075  R00206    -1.
    X00075  R00207    1.
    X00076  R00048    1.
    X00076  R00049    -1.
    X00076  R00050    1.
    X00076  R00051    1.
    X00076  R00208    1.
    X00076  R00209    1.
    X00076  R00210    -1.
    X00076  R00211    1.
    X00077  R00052    1.
    X00077  R00053    -1.
    X00077  R00054    1.
    X00077  R00055    1.
    X00077  R00212    1.
    X00077  R00213    1.
    X00077  R00214    -1.
    X00077  R00215    1.
    X00078  R00056    1.
    X00078  R00057    -1.
    X00078  R00058    1.
    X00078  R00059    1.
    X00078  R00216    1.
    X00078  R00217    1.
    X00078  R00218    -1.
    X00078  R00219    1.
    X00079  R00060    1.
    X00079  R00061    -1.
    X00079  R00062    1.
    X00079  R00063    1.
    X00079  R00220    1.
    X00079  R00221    1.
    X00079  R00222    -1.
    X00079  R00223    1.
    X00080  R00064    1.
    X00080  R00065    -1.
    X00080  R00066    1.
    X00080  R00067    1.
    X00080  R00160    -1.
    X00080  R00161    1.
    X00080  R00162    1.
    X00080  R00163    1.
    X00080  R00224    1.
    X00081  R00068    1.
    X00081  R00069    -1.
    X00081  R00070    1.
    X00081  R00071    1.
    X00081  R00164    -1.
    X00081  R00165    1.
    X00081  R00166    1.
    X00081  R00167    1.
    X00081  R00225    1.
    X00082  R00072    1.
    X00082  R00073    -1.
    X00082  R00074    1.
    X00082  R00075    1.
    X00082  R00168    -1.
    X00082  R00169    1.
    X00082  R00170    1.
    X00082  R00171    1.
    X00082  R00226    1.
    X00083  R00076    1.
    X00083  R00077    -1.
    X00083  R00078    1.
    X00083  R00079    1.
    X00083  R00172    -1.
    X00083  R00173    1.
    X00083  R00174    1.
    X00083  R00175    1.
    X00083  R00227    1.
    X00084  R00080    1.
    X00084  R00081    -1.
    X00084  R00082    1.
    X00084  R00083    1.
    X00084  R00176    -1.
    X00084  R00177    1.
    X00084  R00178    1.
    X00084  R00179    1.
    X00084  R00228    1.
    X00085  R00084    1.
    X00085  R00085    -1.
    X00085  R00086    1.
    X00085  R00087    1.
    X00085  R00180    -1.
    X00085  R00181    1.
    X00085  R00182    1.
    X00085  R00183    1.
    X00085  R00229    1.
    X00086  R00088    1.
    X00086  R00089    -1.
    X00086  R00090    1.
    X00086  R00091    1.
    X00086  R00184    -1.
    X00086  R00185    1.
    X00086  R00186    1.
    X00086  R00187    1.
    X00086  R00230    1.
    X00087  R00092    1.
    X00087  R00093    -1.
    X00087  R00094    1.
    X00087  R00095    1.
    X00087  R00188    -1.
    X00087  R00189    1.
    X00087  R00190    1.
    X00087  R00191    1.
    X00087  R00231    1.
    X00088  R00096    1.
    X00088  R00097    -1.
    X00088  R00098    1.
    X00088  R00099    1.
    X00088  R00192    -1.
    X00088  R00193    1.
    X00088  R00194    1.
    X00088  R00195    1.
    X00088  R00232    1.
    X00089  R00100    1.
    X00089  R00101    -1.
    X00089  R00102    1.
    X00089  R00103    1.
    X00089  R00196    -1.
    X00089  R00197    1.
    X00089  R00198    1.
    X00089  R00199    1.
    X00089  R00233    1.
    X00090  R00104    1.
    X00090  R00105    -1.
    X00090  R00106    1.
    X00090  R00107    1.
    X00090  R00200    -1.
    X00090  R00201    1.
    X00090  R00202    1.
    X00090  R00203    1.
    X00090  R00234    1.
    X00091  R00108    1.
    X00091  R00109    -1.
    X00091  R00110    1.
    X00091  R00111    1.
    X00091  R00204    -1.
    X00091  R00205    1.
    X00091  R00206    1.
    X00091  R00207    1.
    X00091  R00235    1.
    X00092  R00112    1.
    X00092  R00113    -1.
    X00092  R00114    1.
    X00092  R00115    1.
    X00092  R00208    -1.
    X00092  R00209    1.
    X00092  R00210    1.
    X00092  R00211    1.
    X00092  R00236    1.
    X00093  R00116    1.
    X00093  R00117    -1.
    X00093  R00118    1.
    X00093  R00119    1.
    X00093  R00212    -1.
    X00093  R00213    1.
    X00093  R00214    1.
    X00093  R00215    1.
    X00093  R00237    1.
    X00094  R00120    1.
    X00094  R00121    -1.
    X00094  R00122    1.
    X00094  R00123    1.
    X00094  R00216    -1.
    X00094  R00217    1.
    X00094  R00218    1.
    X00094  R00219    1.
    X00094  R00238    1.
    X00095  R00124    1.
    X00095  R00125    -1.
    X00095  R00126    1.
    X00095  R00127    1.
    X00095  R00220    -1.
    X00095  R00221    1.
    X00095  R00222    1.
    X00095  R00223    1.
    X00095  R00239    1.
    X00096  R00128    -1.
    X00096  R00240    1.
    X00096  R00241    1.
    X00096  R00242    -1.
    X00096  R00243    1.
    X00097  R00129    -1.
    X00097  R00244    1.
    X00097  R00245    1.
    X00097  R00246    -1.
    X00097  R00247    1.
    X00098  R00130    -1.
    X00098  R00248    1.
    X00098  R00249    1.
    X00098  R00250    -1.
    X00098  R00251    1.
    X00099  R00131    -1.
    X00099  R00252    1.
    X00099  R00253    1.
    X00099  R00254    -1.
    X00099  R00255    1.
    X00100  R00132    -1.
    X00100  R00256    1.
    X00100  R00257    1.
    X00100  R00258    -1.
    X00100  R00259    1.
    X00101  R00133    -1.
    X00101  R00260    1.
    X00101  R00261    1.
    X00101  R00262    -1.
    X00101  R00263    1.
    X00102  R00134    -1.
